price,no_of_bedrooms,no_of_bathrooms,sqft_living,sqft_lot,no_of_floors,zipcode,house_age
231300.0,2,1.0,1180,5650,1.0,98178,69
538000.0,3,2.25,2570,7242,2.0,98125,73
180000.0,2,1.0,770,10000,1.0,98028,91
604000.0,4,3.0,1960,5000,1.0,98136,59
510000.0,3,2.0,1680,8080,1.0,98074,37
1230000.0,4,4.5,5420,101930,1.0,98053,23
257500.0,3,2.25,1715,6819,2.0,98003,29
291850.0,3,1.5,1060,9711,1.0,98198,61
229500.0,3,1.0,1780,7470,1.0,98146,64
323000.0,3,2.5,1890,6560,2.0,98038,21
662500.0,3,2.5,3560,9796,1.0,98007,59
468000.0,2,1.0,1160,6000,1.0,98115,82
310000.0,3,1.0,1430,19901,1.5,98028,97
400000.0,3,1.75,1370,9680,1.0,98074,47
530000.0,5,2.0,1810,4850,1.5,98107,124
650000.0,4,3.0,2950,5000,2.0,98126,45
395000.0,3,2.0,1890,14040,2.0,98019,30
485000.0,4,1.0,1600,4300,1.5,98103,108
189000.0,2,1.0,1200,9850,1.0,98002,103
230000.0,3,1.0,1250,9774,1.0,98003,55
385000.0,4,1.75,1620,4980,1.0,98133,77
2000000.0,3,2.75,3050,44867,1.0,98040,56
285000.0,5,2.5,2270,6300,2.0,98092,29
252700.0,2,1.5,1070,9643,1.0,98030,39
329000.0,3,2.25,2450,6500,2.0,98030,39
233000.0,3,2.0,1710,4697,1.5,98002,83
937000.0,3,1.75,2450,2691,2.0,98119,109
667000.0,3,1.0,1400,1581,1.5,98112,115
438000.0,3,1.75,1520,6380,1.0,98115,76
719000.0,4,2.5,2570,7173,2.0,98052,19
580500.0,3,2.5,2320,3980,2.0,98027,21
280000.0,2,1.5,1190,1265,3.0,98133,19
687500.0,4,1.75,2330,5000,1.5,98117,95
535000.0,3,1.0,1090,3000,1.5,98117,95
322500.0,4,2.75,2060,6659,1.0,98058,43
696000.0,3,2.5,2300,3060,1.5,98115,94
550000.0,4,1.0,1660,34848,1.0,98052,91
640000.0,4,2.0,2360,6000,2.0,98107,120
240000.0,4,1.0,1220,8075,1.0,98001,55
605000.0,4,2.5,2620,7553,2.0,98056,28
625000.0,4,2.5,2570,5520,2.0,98074,24
775000.0,4,2.25,4220,24186,1.0,98166,40
861990.0,5,2.75,3595,5639,2.0,98053,10
685000.0,3,1.0,1570,2280,2.0,98119,102
309000.0,3,1.0,1280,9656,1.0,98058,65
488000.0,3,2.5,3160,13603,2.0,98019,21
210490.0,3,1.0,990,8528,1.0,98023,58
785000.0,4,2.5,2290,13416,2.0,98007,43
450000.0,3,1.75,1250,5963,1.0,98115,71
